Gene_symbol,Allele_symbol,Reference,PMID
(Cluster5N1),(Cluster5N1)<(tm1)Brd>,Abeler-Dörner et al. 2020,PMID: 31844327
(ClusterXN1),(ClusterXN1)<tm1(Brd)>,Abeler-Dörner et al. 2020,PMID: 31844327
1700001C02Rik,1700001C02Rik<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
1700007K13Rik,1700007K13Rik<tm2b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
1700011A15Rik,1700011A15Rik<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
1700024P04Rik,1700024P04Rik<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
1700029H14Rik,1700029H14Rik<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
1700034J05Rik,1700034J05Rik<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
1700067K01Rik,1700067K01Rik<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
1700112E06Rik,1700112E06Rik<tm1e(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
1700123O20Rik,1700123O20Rik<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
2010300C02Rik,2010300C02Rik<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
2610034B18Rik,2610034B18Rik<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
3300002A11Rik,3300002A11Rik<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
3830406C13Rik,3830406C13Rik<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
4930404H24Rik,4930404H24Rik<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
4930590J08Rik,4930590J08Rik<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
4931429L15Rik,4931429L15Rik<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
4932431P20Rik,4932431P20Rik<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
4933402N03Rik,4933402N03Rik<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
4933434E20Rik,4933434E20Rik<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
5730559C18Rik,5730559C18Rik<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
9330182L06Rik,9330182L06Rik<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
A430005L14Rik,A430005L14Rik<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
A430078G23Rik,A430078G23Rik<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
A730017C20Rik,A730017C20Rik<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Abhd14a,Abhd14a<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Abhd17a,Abhd17a<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Acbd5,Acbd5<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Acer1,Acer1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Actl10,Actl10<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Adal,Adal<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Adamts19,Adamts19<tm4a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Adamts3,Adamts3<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Adap1,Adap1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Adcy2,Adcy2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Adcy9,Adcy9<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Adgrd1,Adgrd1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Adpgk,Adpgk<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Agap1,Agap1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Aicda,Aicda<tm1b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Aldh1b1,Aldh1b1<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Aldh3b1,Aldh3b1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Alox12e,Alox12e<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
