request_id,pubmed_id,allele
157,12483226,Igf1r<tm1.2Mhz>
327,18575457,Cx3cr1<tm1Litt>
695,18815152,Prnp<tm1Cwe>
1045,19242475,Prnp<tm1Cwe>
877,19259262,Cx3cr1<tm1Litt>
662,19855845,Prnp<tm1Cwe>
1654,21559407,Prnp<tm1Cwe>
1654,21559407,Tg(Prnp)a20Cwe
2084,21655083,Slx4<tm1a(EUCOMM)Wtsi>
966,21677284,Igf1r<tm1.2Mhz>
659,21706006,Cx3cr1<tm1Litt>
662,21757544,Prnp<tm1Cwe>
2085,21763481,B9d1<tm1a(EUCOMM)Wtsi>
1705,21795535,Th<tm1(cre)Te>
657,21821709,Igf1r<tm1.2Mhz>
663,21980526,Prnp<tm1Cwe>
663,21980526,Tg(Prnp)a20Cwe
689,22043908,Prnp<tm1Cwe>
999,22080953,1700016L21Rik<Tg(Itgax-DTR/EGFP)57Lan>
1823,22144916,Nsun2<tm1a(EUCOMM)Wtsi>
248,22167485,Tg(tetO-cre)LC1Bjd
662,22529900,Prnp<tm1Cwe>
2033,22532369,Prmt1<tm1a(EUCOMM)Wtsi>
2608,22719219,Tcf7l2<tm2a(EUCOMM)Wtsi>
966,22733797,Igf1r<tm1.2Mhz>
2785,22761313,Nfkbid<tm1a(EUCOMM)Wtsi>
2552,22801499,Il22ra1<tm1a(EUCOMM)Wtsi>
2282,22802351,Rnaseh2b<tm1a(EUCOMM)Wtsi>
2776,22922464,Brdt<tm1a(EUCOMM)Wtsi>
2024,22945801,Cap2<tm1e(EUCOMM)Wtsi>
1901,23001583,Cx3cr1<tm1Litt>
2032,23028378,Tcf7l2<tm2a(EUCOMM)Wtsi>
2354,23267094,Mthfd1l<tm1a(EUCOMM)Wtsi>
1823,23401851,Nsun2<tm1a(EUCOMM)Wtsi>
2576,23454480,Mks1<tm1a(EUCOMM)Wtsi>
2084,23468651,Slx4<tm1a(EUCOMM)Wtsi>
270,23487467,Prnp<tm1Cwe>
1958,23595734,Th<tm1(cre)Te>
4337,23640545,Tcf4<tm1a(EUCOMM)Wtsi>
2282,23713592,Rnaseh2b<tm1a(EUCOMM)Wtsi>
1965,23817550,Fto<tm1a(EUCOMM)Wtsi>
1991,23827709,Chd7<tm2a(EUCOMM)Wtsi>
2046,23897886,Ttll3<tm1a(EUCOMM)Wtsi>
3326,23908241,Sirt2<tm1a(EUCOMM)Wtsi>
4001,23934451,Slc20a2<tm1a(EUCOMM)Wtsi>
4479,23989956,Mb21d1<tm1a(EUCOMM)Hmgu>
1862,24013503,Prmt5<tm2a(EUCOMM)Wtsi>
2578,24064296,Sptbn1<tm1a(EUCOMM)Wtsi>
1071,24228806,Prkaa2<tm1.1Vio>
1070,24228806,Prkaa1<tm1Sbj>
3137,24284630,Mb21d1<tm1a(EUCOMM)Hmgu>
1866,24293546,Chd7<tm2a(EUCOMM)Wtsi>
1012,24367259,1700016L21Rik<Tg(Itgax-DTR/EGFP)57Lan>
3226,24367259,Cx3cr1<tm1Litt>
3976,24391134,Cyb5r2<tm1a(EUCOMM)Hmgu>
3744,24529376,Slc39a8<tm1a(EUCOMM)Wtsi>
2315,24646517,Brpf1<tm1a(EUCOMM)Wtsi>
4180,24685140,Atpif1<tm1a(EUCOMM)Wtsi>
2553,24860998,Asxl1<tm1e(EUCOMM)Wtsi>
4633,24981230,Tmc3<tm2a(KOMP)Wtsi>
3900,25026213,Optn<tm1a(EUCOMM)Wtsi>
3095,25056906,Xiap<tm1a(EUCOMM)Hmgu>
3192,25087892,Hira<tm1a(EUCOMM)Wtsi>
2046,25180231,Ttll3<tm1a(EUCOMM)Wtsi>
2119,25183173,Chd7<tm2a(EUCOMM)Wtsi>
2705,25187265,Pfn1<tm1a(EUCOMM)Wtsi>
2596,25195104,Mtor<tm1a(EUCOMM)Wtsi>
2888,25215489,Ldha<tm1a(EUCOMM)Wtsi>
2754,25259925,Sesn3<tm1a(EUCOMM)Wtsi>
