PubMed ID,allele,order ID,EMMA ID,comment
12483226,Igf1r<tm1.2Mhz>,157,,Anna de Castro (user publications)
20858605,Gjb6<tm1.1Fama>,7585,,CNR_Apr_19
22542184,Prnp<tm1Cwe>,976,,from_bulk_email_Jan_2023
25805620,Ltbp1<tm1a(EUCOMM)Wtsi>,4390,,Jo Nov 2016
25880443,Prnp<tm1Cwe>,976,,from_bulk_email_Jan_2023
25880443,Prnp<tm1Cwe>,1654,,from_bulk_email_Jan_2023
25880443,Tg(Prnp)a20Cwe,1654,,from_bulk_email_Jan_2023
19047635,Gjb6<tm1Kwi>,9210,,CNR_Apr_19
19673007,Gjb2<tm1Ugds>,177,,RM_Apr22
23713592,Rnaseh2b<tm1a(EUCOMM)Wtsi>,2282,,Jo Nov 2016
25195104,Mtor<tm1a(EUCOMM)Wtsi>,2596,,Jo Nov 2016
25187265,Pfn1<tm1a(EUCOMM)Wtsi>,2705,,Jo Nov 2016
24013503,Prmt5<tm2a(EUCOMM)Wtsi>,1862,,Jo Nov 2016
24981230,Tmc3<tm2a(KOMP)Wtsi>,4633,,Jo Nov 2016
22144916,Nsun2<tm1a(EUCOMM)Wtsi>,1823,,Jo Nov 2016
23897886,Ttll3<tm1a(EUCOMM)Wtsi>,2046,,Jo Nov 2016
22532369,Prmt1<tm1a(EUCOMM)Wtsi>,2033,,Jo Nov 2016
23827709,Chd7<tm2a(EUCOMM)Wtsi>,1991,,Jo Nov 2016
22802351,Rnaseh2b<tm1a(EUCOMM)Wtsi>,2282,,Jo Nov 2016
23817550,Fto<tm1a(EUCOMM)Wtsi>,1965,,Jo Nov 2016
21655083,Slx4<tm1a(EUCOMM)Wtsi>,2084,,Jo Nov 2016
23401851,Nsun2<tm1a(EUCOMM)Wtsi>,1823,,Jo Nov 2016
25183173,Chd7<tm2a(EUCOMM)Wtsi>,2119,,Jo Nov 2016
24064296,Sptbn1<tm1a(EUCOMM)Wtsi>,2578,,Jo Nov 2016
25087892,Hira<tm1a(EUCOMM)Wtsi>,3192,,Jo Nov 2016
24293546,Chd7<tm2a(EUCOMM)Wtsi>,1866,,Jo Nov 2016
23468651,Slx4<tm1a(EUCOMM)Wtsi>,2084,,Jo Nov 2016
23267094,Mthfd1l<tm1a(EUCOMM)Wtsi>,2354,,Jo Nov 2016
25180231,Ttll3<tm1a(EUCOMM)Wtsi>,2046,,Jo Nov 2016
22801499,Il22ra1<tm1a(EUCOMM)Wtsi>,2552,,Jo Nov 2016
23640545,Tcf4<tm1a(EUCOMM)Wtsi>,4337,,Jo Nov 2016
25215489,Ldha<tm1a(EUCOMM)Wtsi>,2888,,Jo Nov 2016
23454480,Mks1<tm1a(EUCOMM)Wtsi>,2576,,Jo Nov 2016
25492475,Ptpn2<tm1a(EUCOMM)Wtsi>,2999,,Jo Nov 2016
25662603,Hp1bp3<tm1a(EUCOMM)Wtsi>,2292,,Jo Nov 2016
25580854,Abhd16a<tm1a(EUCOMM)Wtsi>,5028,,Jo Nov 2016
25990470,Ldha<tm1a(EUCOMM)Wtsi>,2474,,Jo Nov 2016
25838550,Il23r<tm2a(EUCOMM)Wtsi>,5184,,Jo Nov 2016
26044960,Optn<tm1a(EUCOMM)Wtsi>,2958,,Jo Nov 2016
25985299,Sdhc<tm1a(EUCOMM)Wtsi>,3382,,Jo Nov 2016
26028225,Prmt5<tm2a(EUCOMM)Wtsi>,2734,,Jo Nov 2016
25870538,Mcph1<tm1a(EUCOMM)Wtsi>,2494,,Jo Nov 2016
26188089,Fto<tm1a(EUCOMM)Wtsi>,2139,,Jo Nov 2016
26102480,Chd7<tm2a(EUCOMM)Wtsi>,2119,,Jo Nov 2016
26268777,Plekhm2<tm1a(EUCOMM)Wtsi>,3064,,Jo Nov 2016
26280336,Syt1<tm1a(EUCOMM)Wtsi>,4541,,Jo Nov 2016
26286991,Il22ra1<tm1a(EUCOMM)Wtsi>,2886,,Jo Nov 2016
26402843,Hp1bp3<tm1a(EUCOMM)Wtsi>,2292,,Jo Nov 2016
26587753,Snap29<tm1a(EUCOMM)Wtsi>,2371,,Jo Nov 2016
26637354,Prmt1<tm1a(EUCOMM)Wtsi>,2889,,Jo Nov 2016
26727661,Fto<tm1a(EUCOMM)Wtsi>,2139,,Jo Nov 2016
26697887,Pitrm1<tm1a(KOMP)Wtsi>,5303,,Jo Nov 2016
26776516,Hdac3<tm1a(EUCOMM)Wtsi>,3247,,Jo Nov 2016
26795843,Rcor2<tm1a(EUCOMM)Wtsi>,2984,,Jo Nov 2016
26903600,Smc3<tm1a(EUCOMM)Wtsi>,1989,,Jo Nov 2016
26878175,Jmjd1c<tm1a(EUCOMM)Wtsi>,3555,,Jo Nov 2016
26968211,Plin2<tm1a(EUCOMM)Wtsi>,2769,,Jo Nov 2016
26935106,Hira<tm1a(EUCOMM)Wtsi>,3602,,Jo Nov 2016
27032818,Card9<tm1a(EUCOMM)Hmgu>,5242,,Jo Nov 2016
27207521,Prmt7<tm1a(EUCOMM)Wtsi>,2857,,Jo Nov 2016
27302397,Tcf7l1<tm1a(EUCOMM)Wtsi>,2459,,Jo Nov 2016
26747696,Snap29<tm1a(EUCOMM)Wtsi>,2496,,Jo Nov 2016
27460150,Hp1bp3<tm1a(EUCOMM)Wtsi>,2292,,Jo Nov 2016
27357688,Spata25<tm1(KOMP)Wtsi>,5780,,Jo Nov 2016
27357688,1700034J05Rik<tm1a(KOMP)Wtsi>,5781,,Jo Nov 2016
27470444,Hp1bp3<tm1a(EUCOMM)Wtsi>,2292,,Jo Nov 2016
27524794,Cyfip2<tm1a(EUCOMM)Wtsi>,4612,,Jo Nov 2016
27518902,Hira<tm1a(EUCOMM)Wtsi>,2448,,Jo Nov 2016
27466704,Prmt1<tm1a(EUCOMM)Wtsi>,2033,,Jo Nov 2016
23908241,Sirt2<tm1a(EUCOMM)Wtsi>,3326,,Jo Nov 2016
25299188,Arid2<tm1a(EUCOMM)Wtsi>,3653,,Jo Nov 2016
25026213,Optn<tm1a(EUCOMM)Wtsi>,3900,,Jo Nov 2016
25377878,Sesn3<tm1a(EUCOMM)Wtsi>,3912,,Jo Nov 2016
25660024,Prkcz<tm1a(EUCOMM)Wtsi>,2883,,Jo Nov 2016
24685140,Atpif1<tm1a(EUCOMM)Wtsi>,4180,,Jo Nov 2016
25481835,Whrn<tm1a(EUCOMM)Wtsi>,5403,,Jo Nov 2016
25810472,Prmt5<tm2a(EUCOMM)Wtsi>,3150,,Jo Nov 2016
26072710,Prmt5<tm2a(EUCOMM)Wtsi>,3150,,Jo Nov 2016
26177727,Caprin2<tm2a(EUCOMM)Wtsi>,3963,,Jo Nov 2016
26246171,March5<tm1a(EUCOMM)Wtsi>,4220,,Jo Nov 2016
26420843,Whrn<tm1a(EUCOMM)Wtsi>,5403,,Jo Nov 2016
26307081,Whrn<tm1a(EUCOMM)Wtsi>,5403,,Jo Nov 2016
26665171,Prmt8<tm1a(EUCOMM)Wtsi>,2890,,Jo Nov 2016
26876430,Atpif1<tm1a(EUCOMM)Wtsi>,5939,,Jo Nov 2016
26868297,Prkcz<tm1a(EUCOMM)Wtsi>,5228,,Jo Nov 2016
26994494,Brdt<tm1a(EUCOMM)Wtsi>,3946,,Jo Nov 2016
27210552,Syt1<tm1a(EUCOMM)Wtsi>,5123,,Jo Nov 2016
27249171,Traf6<tm2a(EUCOMM)Wtsi>,6258,,Jo Nov 2016
27444544,Brd7<tm2a(EUCOMM)Wtsi>,4405,,Jo Nov 2016
27695001,Trim29<tm1a(EUCOMM)Wtsi>,5778,,Jo Nov 2016
27827819,Prmt5<tm2c(EUCOMM)Wtsi>,5624,,Jo Feb 2017
28026023,Aldh1b1<tm2a(EUCOMM)Wtsi>,5806,,Jo Feb 2017
27935040,Prmt8<tm1a(EUCOMM)Wtsi>,1860,,Jo Feb 2017
28007585,Prrt2<tm1a(KOMP)Wtsi>,5716,,Jo Feb 2017
28104815,Ttll3<tm1a(EUCOMM)Wtsi>,2046,,Jo Feb 2017
28045099,Gsdme<tm1b(KOMP)Wtsi>,7182,,Jo Feb 2017
28041877,Nsun2<tm1a(EUCOMM)Wtsi>,1823,,Jo Feb 2017
27857073,Usp21<tm1a(EUCOMM)Wtsi>,4231,,Jo Feb 2017
28128235,Pld3<tm1e(EUCOMM)Wtsi>,5590,,Jo Feb 2017
28049716,Sfxn3<tm1b(KOMP)Wtsi>,6153,,Jo Feb 2017
27709605,Irf5<tm1e(EUCOMM)Wtsi>,5756,,Jo Jun 2017
28254523,Aldh16a1<tm1a(EUCOMM)Wtsi>,4741,,Jo Jun 2017
28238654,Prmt5<tm2a(EUCOMM)Wtsi>,2408,,Jo Jun 2017
28322331,Ptpn2<tm1a(EUCOMM)Wtsi>,3466,,Jo Jun 2017
28343629,Otud6b<tm1a(EUCOMM)Wtsi>,3878,,Jo Jun 2017
28424523,Smc3<tm1a(EUCOMM)Wtsi>,1989,,Jo Jun 2017
28395340,Adar<tm1a(EUCOMM)Wtsi>,3416,,Jo Jun 2017
28507225,Ripk4<tm1a(EUCOMM)Wtsi>,3694,,Jo Jun 2017
28530678,Sap130<tm1a(KOMP)Mbp>,5594,,Jo Jun 2017
28369354,Mecr<tm1a(EUCOMM)Wtsi>,2736,,Jo Jun 2017
28600325,Hira<tm1a(EUCOMM)Wtsi>,3602,,Jo Oct 2017
28578315,Agpat3<tm1a(EUCOMM)Wtsi>,2466,,Jo Oct 2017
28658614,Sec22b<tm1a(EUCOMM)Wtsi>,3968,,Jo Oct 2017
28621310,Gprc5b<tm1a(EUCOMM)Wtsi>,6661,,Jo Oct 2017
28696225,Gpc6<tm2a(EUCOMM)Wtsi>,3720,,Jo Oct 2017
28743718,Twf1<tm1a(EUCOMM)Wtsi>,2706,,Jo Oct 2017
28811369,Tmem18<tm1a(EUCOMM)Wtsi>,5934,,Jo Oct 2017
28923496,Nadk2<tm1a(EUCOMM)Wtsi>,4907,,Jo Oct 2017
28739881,Traf6<tm2a(EUCOMM)Wtsi>,5316,,Jo Oct 2017
28899994,Capzb<tm1a(EUCOMM)Wtsi>,4243,,Jo Oct 2017
28778945,Mybphl<tm1b(KOMP)Wtsi>,6469,,Jo Oct 2017
28878098,Prmt8<tm1a(EUCOMM)Wtsi>,5439,,Jo Oct 2017
29038422,Trim29<tm1a(EUCOMM)Wtsi>,5778,,Jo May 2018
28846084,Ifnlr1<tm1a(EUCOMM)Wtsi>,6385,,Jo May 2018
28931573,Chd7<tm2a(EUCOMM)Wtsi>,6163,,Jo May 2018
29122955,Dnpep<tm1e(EUCOMM)Wtsi>,5704,,Jo May 2018
29150602,Plekhm2<tm1a(EUCOMM)Wtsi>,4585,,Jo May 2018
28720716,Pik3cg<tm1a(EUCOMM)Wtsi>,3212,,Jo May 2018
29113991,Arpc4<tm1a(EUCOMM)Wtsi>,1898,,Jo May 2018
29078390,Wdr47<tm1a(EUCOMM)Wtsi>,3875,,Jo May 2018
29384525,Mtor<tm1a(EUCOMM)Wtsi>,2562,,Jo May 2018
29180574,Setd5<tm1a(EUCOMM)Wtsi>,6643,,Jo May 2018
29315990,Mtor<tm1a(EUCOMM)Wtsi>,2821,,Jo May 2018
29414686,Gpr35<tm1b(EUCOMM)Hmgu>,7024,,Jo May 2018
29423877,Nhlrc2<tm1a(KOMP)Wtsi>,6006,,Jo May 2018
29466054,Rpgrip1l<tm1a(EUCOMM)Wtsi>,4053,,Jo May 2018
29481883,Gprc5b<tm1a(EUCOMM)Wtsi>,4234,,Jo May 2018
29549365,Zfyve28<tm1a(EUCOMM)Wtsi>,4969,,Jo May 2018
29554219,Prrt2<tm1a(KOMP)Wtsi>,5716,,Jo May 2018
29513658,Brdt<tm1a(EUCOMM)Wtsi>,2776,,Jo May 2018
22922464,Brdt<tm1a(EUCOMM)Wtsi>,2776,,Jo May 2018
29540666,Hdac3<tm1a(EUCOMM)Wtsi>,5083,,Jo May 2018
29588831,Tcf4<tm1a(EUCOMM)Wtsi>,5165,,Jo May 2018
29643507,Hbs1l<tm1a(KOMP)Wtsi>,6901,,Jo May 2018
29618580,Gclc<tm1a(EUCOMM)Wtsi>,5812,,Jo May 2018
29703891,Nat10<tm1a(KOMP)Wtsi>,8726,,Jo May 2018
29095442,Arhgef1<tm1a(EUCOMM)Wtsi>,8727,,Jo May 2018
22761313,Nfkbid<tm1a(EUCOMM)Wtsi>,2785,,Paola EMMA mentioned
