Allele.name	Allele.primaryIdentifier	Allele.symbol	Allele.publications.pubMedId	Allele.projectCollection
1-acylglycerol-3-phosphate O-acyltransferase 3; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4432492	Agpat3<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
1-acylglycerol-3-phosphate O-acyltransferase 3; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4432492	Agpat3<tm1a(EUCOMM)Wtsi>	28578315	EUCOMM
1-acylglycerol-3-phosphate O-acyltransferase 3; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4432492	Agpat3<tm1a(EUCOMM)Wtsi>	28578316	EUCOMM
1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta); targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4362437	Agpat4<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta); targeted mutation 1b, Wellcome Trust Sanger Institute	MGI:5637031	Agpat4<tm1b(KOMP)Wtsi>	27626380	KOMP-CSD
2,3-bisphosphoglycerate mutase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4363424	Bpgm<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
2',3'-cyclic nucleotide 3' phosphodiesterase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4433004	Cnp<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
2',3'-cyclic nucleotide 3' phosphodiesterase; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4434123	Cnp<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
24-dehydrocholesterol reductase; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4431942	Dhcr24<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
24-dehydrocholesterol reductase; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4434331	Dhcr24<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
2,4-dienoyl CoA reductase 1, mitochondrial; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4433543	Decr1<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
2,4-dienoyl CoA reductase 1, mitochondrial; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4434263	Decr1<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
2-4-dienoyl-Coenzyme A reductase 2, peroxisomal; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4460423	Decr2<tm1a(EUCOMM)Wtsi>	21677750	EUCOMM
2-4-dienoyl-Coenzyme A reductase 2, peroxisomal; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4460427	Decr2<tm1e(EUCOMM)Wtsi>	21677750	EUCOMM
2'-5' oligoadenylate synthetase 1A; targeted mutation 1a, Wellcome Trust Sanger Institute	MGI:4820095	Oas1a<tm1a(KOMP)Wtsi>	21677750	KOMP-CSD
2'-5' oligoadenylate synthetase 1A; targeted mutation 1e, Wellcome Trust Sanger Institute	MGI:4820174	Oas1a<tm1e(KOMP)Wtsi>	21677750	KOMP-CSD
