alleleSymbol,alleleName,acc,project,geneSymbol,gacc
1110051M20Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 1110051M20 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4431671,EUCOMM,1110051M20Rik,MGI:1915079
1110059G10Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 1110059G10 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4419470,KOMP-CSD,1110059G10Rik,MGI:1913452
1500011B03Rik<tm2(KOMP)Wtsi>,"RIKEN cDNA 1500011B03 gene; targeted mutation 2, Wellcome Trust Sanger Institute",MGI:4419497,KOMP-CSD,1500011B03Rik,MGI:1913486
1500015O10Rik<tm1a(EUCOMM)Hmgu>,"RIKEN cDNA 1500015O10 gene; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4841752,EUCOMM,1500015O10Rik,MGI:1926146
1600029I14Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 1600029I14 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4451242,KOMP-CSD,1600029I14Rik,MGI:1917047
1600029I14Rik<tm1b(KOMP)Wtsi>,"RIKEN cDNA 1600029I14 gene; targeted mutation 1b, Wellcome Trust Sanger Institute",MGI:5613647,KOMP-CSD,1600029I14Rik,MGI:1917047
1700001C02Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 1700001C02 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4432273,EUCOMM,1700001C02Rik,MGI:1922684
1700007K13Rik<tm2a(EUCOMM)Wtsi>,"RIKEN cDNA 1700007K13 gene; targeted mutation 2a, Wellcome Trust Sanger Institute",MGI:5472700,EUCOMM,1700007K13Rik,MGI:1916577
1700007K13Rik<tm2b(EUCOMM)Wtsi>,"RIKEN cDNA 1700007K13 gene; targeted mutation 2b, Wellcome Trust Sanger Institute",MGI:5637039,EUCOMM,1700007K13Rik,MGI:1916577
1700008O03Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 1700008O03 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4451336,KOMP-CSD,1700008O03Rik,MGI:1916599
1700016L21Rik<Tg(Itgax-DTR/EGFP)57Lan>,"RIKEN cDNA 1700016L21 gene; transgene insertion 57, Richard A Lang",MGI:3057163,0,1700016L21Rik,MGI:1919458
1700024P04Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 1700024P04 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:5473122,EUCOMM,1700024P04Rik,MGI:1916632
1700024P04Rik<tm1b(EUCOMM)Wtsi>,"RIKEN cDNA 1700024P04 gene; targeted mutation 1b, Wellcome Trust Sanger Institute",MGI:5637040,EUCOMM,1700024P04Rik,MGI:1916632
1700028K03Rik<tm1(EGFP/cre/ERT2)Wtsi>,"RIKEN cDNA 1700028K03 gene; targeted mutation 1, Wellcome Trust Sanger Institute",MGI:5811633,EUCOMMTOOLS,1700028K03Rik,MGI:1923671
1700029H14Rik<tm2a(KOMP)Wtsi>,"RIKEN cDNA 1700029H14 gene; targeted mutation 2a, Wellcome Trust Sanger Institute",MGI:4419600,KOMP-CSD,1700029H14Rik,MGI:1913751
1700029H14Rik<tm2b(KOMP)Wtsi>,"RIKEN cDNA 1700029H14 gene; targeted mutation 2b, Wellcome Trust Sanger Institute",MGI:5637012,KOMP-CSD,1700029H14Rik,MGI:1913751
1700034J05Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 1700034J05 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4849971,KOMP-CSD,1700034J05Rik,MGI:1920594
1700067K01Rik<tm2a(KOMP)Wtsi>,"RIKEN cDNA 1700067K01 gene; targeted mutation 2a, Wellcome Trust Sanger Institute",MGI:5289829,KOMP-CSD,1700067K01Rik,MGI:1920703
1700123O20Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 1700123O20 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4434270,EUCOMM,1700123O20Rik,MGI:1920893
